FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties
"IA, O Brien",19141,O'brien,Iowa,12/17/2024,Commercial Table Egg Layer,351400,0,1,1
"SD, Bon Homme",46009,Bon Homme,South Dakota,12/17/2024,Commercial Turkey Meat Bird; WOAH Non-Poultry,144730,0,4,1
"IA, Sioux",19167,Sioux,Iowa,12/17/2024,Commercial Table Egg Layer,12108000,0,5,1
"ID, Lemhi",16059,Lemhi,Idaho,12/17/2024,WOAH Non-Poultry,190,0,3,1
"IA, Worth",19195,Worth,Iowa,12/17/2024,Commercial Turkey Meat Bird,19500,0,1,1
"NE, Lancaster",31109,Lancaster,Nebraska,12/17/2024,WOAH Poultry,290,0,1,1
"NE, Sarpy",31153,Sarpy,Nebraska,12/16/2024,WOAH Non-Poultry,30,0,1,1
"FL, Duval",12031,Duval,Florida,12/16/2022,WOAH Non-Poultry,90,1,3,1
"MT, Flathead",30029,Flathead,Montana,12/16/2022,WOAH Non-Poultry,55,0,4,1
"MN, Waseca",27161,Waseca,Minnesota,12/15/2023,WOAH Non-Poultry; Commercial Turkey Meat Bird,63790,0,4,1
"ID, Latah",16057,Latah,Idaho,12/15/2023,WOAH Poultry,200,0,1,1
"OR, Polk",41053,Polk,Oregon,12/15/2022,WOAH Non-Poultry,200,0,4,1
"LA, Bossier Parish",22015,Bossier,Louisiana,12/14/2024,WOAH Non-Poultry,40,0,1,1
"CA, Monterey",6053,Monterey,California,12/14/2024,Commercial Duck Breeder,28800,0,2,1
"CA, Tulare",6107,Tulare,California,12/14/2024,Commercial Duck Meat Bird; Commercial Broiler Production; Commercial Duck Breeder; WOAH Non-Poultry,1801930,0,9,1
"AR, Scott",5127,Scott,Arkansas,12/14/2023,WOAH Non-Poultry,180,0,1,1
"OR, Clatsop",41007,Clatsop,Oregon,12/14/2023,WOAH Non-Poultry,30,0,1,1
"NE, Knox",31107,Knox,Nebraska,12/14/2022,WOAH Poultry; WOAH Non-Poultry; Commercial Table Egg Layer,2118170,0,3,1
"SD, Moody",46101,Moody,South Dakota,12/14/2022,Commercial Table Egg Layer; Commercial Turkey Meat Bird,1378800,0,2,1
"MN, Redwood",27127,Redwood,Minnesota,12/14/2022,WOAH Non-Poultry; Commercial Turkey Meat Bird,46140,0,4,1
"WA, Franklin",53021,Franklin,Washington,12/14/2022,Commercial Table Egg Layer,2163000,0,3,1
"SD, Spink",46115,Spink,South Dakota,12/14/2022,WOAH Poultry; Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Upland Gamebird Producer; Commercial Raised for Release Upland Game Bird,307310,0,12,1
"IL, Livingston",17105,Livingston,Illinois,12/13/2024,Commercial Turkey Breeder Hens,40900,0,1,1
"WI, Barron",55005,Barron,Wisconsin,12/13/2024,Commercial Turkey Breeder Hens; Commercial Turkey Meat Bird; WOAH Non-Poultry,450950,0,10,1
"IN, Daviess",18027,Daviess,Indiana,12/13/2022,Commercial Turkey Meat Bird,24500,1,2,1
"OR, Columbia",41009,Columbia,Oregon,12/13/2022,WOAH Non-Poultry,130,0,2,1
"OR, Linn",41043,Linn,Oregon,12/13/2022,WOAH Non-Poultry; Commercial Broiler Production,630850,0,4,1
"IA, Sac",19161,Sac,Iowa,12/12/2024,Commercial Turkey Meat Bird,218500,0,5,1
"SD, Kingsbury",46077,Kingsbury,South Dakota,12/12/2024,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Table Egg Layer,228290,0,7,1
"AR, Pope",5115,Pope,Arkansas,12/12/2024,WOAH Non-Poultry,510,0,2,1
"MO, St Louis",29189,St. Louis,Missouri,12/12/2023,WOAH Non-Poultry,20,0,1,1
"SD, Lake",46079,Lake,South Dakota,12/12/2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,213020,0,4,1
"AL, Etowah",1055,Etowah,Alabama,12/12/2023,WOAH Non-Poultry,80,0,1,1
"NY, Dutchess",36027,Dutchess,New York,12/12/2023,WOAH Poultry; WOAH Non-Poultry,4400,1,2,1
"IA, Buena Vista",19021,Buena Vista,Iowa,12/12/2022,Commercial Turkey Meat Bird; Commercial Table Egg Layer,5685400,0,9,1
"MN, Wadena",27159,Wadena,Minnesota,12/12/2022,Commercial Turkey Meat Bird,598700,0,2,1
"IA, Ida",19093,Ida,Iowa,12/12/2022,Commercial Turkey Meat Bird,90000,0,1,1
"IA, Cherokee",19035,Cherokee,Iowa,12/12/2022,Commercial Turkey Meat Bird,343000,0,4,1
"SD, Brule",46015,Brule,South Dakota,12/11/2024,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Upland Gamebird Producer,151630,0,5,1
"IA, Palo Alto",19147,Palo Alto,Iowa,12/11/2024,Commercial Turkey Meat Bird,31100,0,1,1
"MN, Olmsted",27109,Olmsted,Minnesota,12/11/2023,Commercial Turkey Breeder Hens; WOAH Non-Poultry,14520,0,2,1
